box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,100;50,0,0.7,5,-2,0.999,0.01,0.001,20,1.00E-06,FALSE,sqrtPlus3Over8,CrossEntropy,0.093631904,0.948943398,0.917178482,0.950379025,1.036194401,0.691725921,0.689120176,0.689249467,0.665869425
work,RectifierWithDropout,35;17,0.05,0.7,10,-2,0.999,1.00E-05,1.00E-04,20,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,0.088681108,0.949254947,0.82395618,0.995924857,0.853327001,0.698060763,0.717111643,0.698558407,0.712411118
work,RectifierWithDropout,36;36;36,0,0.2,50,-2,0.95,0.001,0.01,30,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,0.320022955,0.669477262,0.677845001,0.683538661,0.681609285,0.757724628,0.75059797,0.751244424,0.748610213
work,RectifierWithDropout,500;500;250;100,0.1,0,10,-2,0.95,1.00E-04,0.001,2,1.00E-08,FALSE,log,CrossEntropy,1.732193904,0.552214573,0.558839326,0.554549284,0.554498583,0.797672915,0.793522529,0.790807421,0.79114415
work,RectifierWithDropout,36;36,0.05,0.5,25,-2,0.98,1.00E-05,0.001,20,1.00E-09,FALSE,sqrtPlus3Over8,CrossEntropy,0.152052363,0.662557141,0.66916452,0.672962172,0.685383324,0.747317388,0.746396018,0.748658608,0.731738849
work,RectifierWithDropout,500;250;50,0.5,0.1,50,-2,0.99,0.01,1.00E-04,7,1.00E-09,FALSE,log,CrossEntropy,2.291669587,1.011829739,0.969647912,1.058528732,0.989525191,0.653005818,0.65673282,0.642510828,0.652036199
work,RectifierWithDropout,500;500;250;100,0.3,0,15,-2,0.9999,1.00E-05,0,30,1.00E-06,FALSE,sqrt,CrossEntropy,0.787659962,1.965266435,2.092110094,2.220904616,2.325342121,0.263606981,0.259616006,0.229555886,0.259211377
work,RectifierWithDropout,200;100;50,0.02,0.2,10,-2,0.999,0,0.001,7,1.00E-09,FALSE,raw,CrossEntropy,0.366727654,0.526441231,0.533839134,0.535127307,0.532780477,0.795669037,0.793522529,0.784666106,0.79062702
work,RectifierWithDropout,36;36;36,0.1,0.2,50,-2,0.98,1.00E-04,0.001,5,1.00E-06,FALSE,log,CrossEntropy,0.27388075,0.625642755,0.634022069,0.641105345,0.643642061,0.764964447,0.761716982,0.763656345,0.753199741
work,RectifierWithDropout,35;17,0.1,0.5,10,-2,0.999,1.00E-05,0,10,1.00E-07,FALSE,sqrt,CrossEntropy,0.095832721,0.754305362,0.761770259,0.776691521,0.876490072,0.733096315,0.718469196,0.720408559,0.711635423
